"h_wt_score";"a_wt_score";"h_h2h_wins";"a_h2h_wins";"t_h2h";"h_h2h_wt_score";"a_h2h_wt_score";"h_lg_wt_score";"a_lg_wt_score";"h_d_opp_wt_score";"a_d_opp_wt_score";"winner"
14.6577330603;22.4725011956;1;1;2;36.2500000000;38.5000000000;29.5200000000;29.4400000000;43.1250000000;36.1250000000;2
-85.6087270974;49.3043270380;0;2;2;18.2500000000;40.2500000000;22.8400000000;29.9600000000;37.6250000000;40.6250000000;2
14.6577330603;49.3043270380;1;1;2;41.7500000000;41.7500000000;29.5200000000;29.9600000000;40.3750000000;39.8750000000;1
-85.6087270974;22.4725011956;1;1;2;40.5000000000;37.2500000000;22.8400000000;29.4400000000;26.5000000000;36.7500000000;1
14.6577330603;-85.6087270974;2;0;2;44.5000000000;34.7500000000;29.5200000000;22.8400000000;39.0000000000;29.3750000000;1
49.3043270380;22.4725011956;1;3;4;29.1250000000;37.3750000000;29.9600000000;29.4400000000;39.9166666667;36.5000000000;2
22.4725011956;14.6577330603;1;1;2;38.5000000000;36.2500000000;29.4400000000;29.5200000000;36.1250000000;43.1250000000;2
49.3043270380;-85.6087270974;2;0;2;40.2500000000;18.2500000000;29.9600000000;22.8400000000;40.6250000000;37.6250000000;1
49.3043270380;14.6577330603;1;1;2;41.7500000000;41.7500000000;29.9600000000;29.5200000000;39.8750000000;40.3750000000;1
22.4725011956;-85.6087270974;1;1;2;37.2500000000;40.5000000000;29.4400000000;22.8400000000;36.7500000000;26.5000000000;1
26.4044394807;-7.8767522359;2;1;3;43.0000000000;37.1666666667;27.8400000000;28.6000000000;33.6250000000;35.5625000000;1
10.6726903331;-7.9291337961;1;2;3;26.3333333333;31.3333333333;26.4400000000;28.3600000000;36.1250000000;34.1250000000;2
-85.6087270974;14.6577330603;0;2;2;34.7500000000;44.5000000000;22.8400000000;29.5200000000;29.3750000000;39.0000000000;2
14.3055725409;-28.9346054462;1;0;1;38.5000000000;14.5000000000;28.0800000000;26.6000000000;36.2500000000;32.0833333333;1
22.4725011956;49.3043270380;3;1;4;37.3750000000;29.1250000000;29.4400000000;29.9600000000;36.5000000000;39.9166666667;2
32.1553165843;-34.3215110178;1;0;1;41.5000000000;21.0000000000;27.7200000000;26.2800000000;35.7500000000;32.2500000000;1
-7.9291337961;-28.9346054462;1;0;1;46.0000000000;34.0000000000;28.3600000000;26.6000000000;31.8333333333;28.8333333333;1
-7.8767522359;-17.3397435897;1;0;1;38.5000000000;12.0000000000;28.6000000000;22.3600000000;33.0833333333;37.2500000000;1
10.6726903331;26.4044394807;1;0;1;45.5000000000;39.5000000000;26.4400000000;27.8400000000;32.2500000000;31.9166666667;1
26.4044394807;-7.9291337961;1;0;1;42.0000000000;21.5000000000;27.8400000000;28.3600000000;31.5000000000;35.9166666667;1
-17.3397435897;10.6726903331;0;1;1;10.0000000000;38.0000000000;22.3600000000;26.4400000000;37.5833333333;33.5000000000;2
14.3055725409;-7.8767522359;0;1;1;22.0000000000;41.5000000000;28.0800000000;28.6000000000;39.0000000000;32.5833333333;2
-7.8767522359;-28.9346054462;2;1;3;42.3333333333;36.5000000000;28.6000000000;26.6000000000;32.3571428571;30.1428571429;1
26.4044394807;-17.3397435897;0;1;1;12.0000000000;37.5000000000;27.8400000000;22.3600000000;36.5000000000;33.0000000000;2
10.6726903331;14.3055725409;0;1;1;8.5000000000;37.5000000000;26.4400000000;28.0800000000;38.4166666667;36.4166666667;2
14.3055725409;26.4044394807;0;1;1;38.0000000000;46.5000000000;28.0800000000;27.8400000000;36.3333333333;30.7500000000;2
-17.3397435897;-7.9291337961;1;0;1;45.5000000000;38.5000000000;22.3600000000;28.3600000000;31.6666666667;33.0833333333;1
-28.9346054462;10.6726903331;0;1;1;22.5000000000;42.5000000000;26.6000000000;26.4400000000;30.7500000000;32.7500000000;2
-7.9291337961;-7.8767522359;1;0;1;39.5000000000;14.0000000000;28.3600000000;28.6000000000;32.9166666667;37.1666666667;1
26.4044394807;-28.9346054462;2;1;3;37.1666666667;35.3333333333;27.8400000000;26.6000000000;35.5000000000;31.8750000000;2
-17.3397435897;14.3055725409;2;1;3;33.0000000000;28.1666666667;22.3600000000;28.0800000000;27.3750000000;34.4375000000;1
-28.9346054462;-17.3397435897;0;1;1;10.0000000000;38.0000000000;26.6000000000;22.3600000000;32.8333333333;32.9166666667;2
14.3055725409;-7.9291337961;1;0;1;45.0000000000;35.0000000000;28.0800000000;28.3600000000;35.1666666667;33.6666666667;1
-7.8767522359;10.6726903331;0;1;1;28.0000000000;45.0000000000;28.6000000000;26.4400000000;34.8333333333;32.3333333333;2
33.2780775888;6.6542250505;3;1;4;44.6250000000;39.5000000000;31.3200000000;29.4800000000;36.5833333333;34.5833333333;1
6.6542250505;33.2780775888;1;3;4;39.5000000000;44.6250000000;29.4800000000;31.3200000000;34.5833333333;36.5833333333;1
33.1144372819;123.9066339066;1;2;3;24.6666666667;30.8333333333;26.8000000000;29.7600000000;35.8333333333;40.3333333333;2
33.1144372819;-14.8092691622;1;1;2;34.7500000000;38.2500000000;26.8000000000;24.0400000000;39.0000000000;26.8333333333;2
123.9066339066;-14.8092691622;2;0;2;37.7500000000;10.7500000000;29.7600000000;24.0400000000;36.7500000000;39.1666666667;1
123.9066339066;33.1144372819;2;1;3;30.8333333333;24.6666666667;29.7600000000;26.8000000000;40.3333333333;35.8333333333;2
-33.9931946763;7.2742044481;1;1;2;29.5000000000;25.2500000000;24.3600000000;26.6000000000;24.5000000000;41.6666666667;2
59.7219122304;-1.3552068474;2;1;3;36.0000000000;28.6666666667;28.8800000000;24.2800000000;36.1428571429;31.0714285714;1
98.5059221658;-24.5104431992;3;0;3;43.0000000000;28.6666666667;32.4400000000;24.8400000000;39.5000000000;32.0714285714;1
3.7631578947;24.4802953334;1;2;3;30.6666666667;35.8333333333;27.0400000000;28.2000000000;35.1428571429;35.0000000000;2
96.5965442357;-92.7226386807;2;1;3;33.8333333333;22.3333333333;28.4000000000;17.1200000000;36.2142857143;21.0000000000;1
5.8119658120;27.6319758673;2;1;3;39.1666666667;30.5000000000;28.4800000000;26.3200000000;32.8333333333;38.0000000000;1
-22.5329465074;-17.3040015828;1;1;2;32.7500000000;34.2500000000;22.6800000000;26.0000000000;23.1250000000;39.1250000000;1
44.9019511717;21.9894112505;3;1;4;38.6250000000;28.2500000000;27.0400000000;28.6000000000;34.8750000000;40.7500000000;1
5.8119658120;107.0555117995;1;2;3;22.8333333333;38.5000000000;28.4800000000;30.2400000000;36.5714285714;37.3571428571;1
-31.6783951638;48.5823952632;1;3;4;18.2500000000;34.6250000000;24.9200000000;30.7200000000;37.0833333333;40.9166666667;2
-22.5329465074;8.2268912552;0;3;3;24.5000000000;41.3333333333;22.6800000000;26.0400000000;31.6000000000;25.2000000000;2
-40.9413067553;-23.9580386610;2;2;4;30.6250000000;33.8750000000;26.7200000000;23.4800000000;30.2500000000;31.7500000000;1
20.2986089760;8.6350314897;2;3;5;34.3000000000;37.4000000000;28.4800000000;25.1600000000;37.0000000000;34.1666666667;2
-31.6783951638;-23.9580386610;2;2;4;35.7500000000;35.8750000000;24.9200000000;23.4800000000;27.5833333333;31.1666666667;1
-40.9413067553;48.5823952632;0;4;4;23.0000000000;40.7500000000;26.7200000000;30.7200000000;37.4166666667;37.0833333333;2
20.2986089760;-68.3967914439;1;1;2;34.5000000000;33.0000000000;28.4800000000;20.6400000000;39.3750000000;19.5000000000;1
8.2268912552;-17.3040015828;0;2;2;11.5000000000;38.2500000000;26.0400000000;26.0000000000;36.5000000000;37.1250000000;2
-31.6783951638;-40.9413067553;2;2;4;31.8750000000;38.5000000000;24.9200000000;26.7200000000;30.6666666667;30.0000000000;2
-17.3040015828;-22.5329465074;1;1;2;34.2500000000;32.7500000000;26.0000000000;22.6800000000;39.1250000000;23.1250000000;1
-23.9580386610;48.5823952632;1;3;4;23.5000000000;39.7500000000;23.4800000000;30.7200000000;33.2500000000;37.5000000000;2
21.9894112505;44.9019511717;1;3;4;28.2500000000;38.6250000000;28.6000000000;27.0400000000;40.7500000000;34.8750000000;2
48.5823952632;-31.6783951638;3;1;4;34.6250000000;18.2500000000;30.7200000000;24.9200000000;40.9166666667;37.0833333333;2
-68.3967914439;8.6350314897;0;2;2;25.7500000000;42.5000000000;20.6400000000;25.1600000000;23.1250000000;38.6250000000;2
8.2268912552;-22.5329465074;3;0;3;41.3333333333;24.5000000000;26.0400000000;22.6800000000;25.2000000000;31.6000000000;1
-23.9580386610;-40.9413067553;2;2;4;33.8750000000;30.6250000000;23.4800000000;26.7200000000;31.7500000000;30.2500000000;2
8.6350314897;20.2986089760;3;2;5;37.4000000000;34.3000000000;25.1600000000;28.4800000000;34.1666666667;37.0000000000;2
-23.9580386610;-31.6783951638;2;2;4;35.8750000000;35.7500000000;23.4800000000;24.9200000000;31.1666666667;27.5833333333;1
48.5823952632;-40.9413067553;4;0;4;40.7500000000;23.0000000000;30.7200000000;26.7200000000;37.0833333333;37.4166666667;1
-17.3040015828;8.2268912552;2;0;2;38.2500000000;11.5000000000;26.0000000000;26.0400000000;37.1250000000;36.5000000000;1
-68.3967914439;20.2986089760;1;1;2;33.0000000000;34.5000000000;20.6400000000;28.4800000000;19.5000000000;39.3750000000;1
-40.9413067553;-31.6783951638;2;2;4;38.5000000000;31.8750000000;26.7200000000;24.9200000000;30.0000000000;30.6666666667;2
48.5823952632;-23.9580386610;3;1;4;39.7500000000;23.5000000000;30.7200000000;23.4800000000;37.5000000000;33.2500000000;2
-20.7754567563;-7.5824175824;0;1;1;11.5000000000;37.5000000000;26.9200000000;25.7600000000;31.6666666667;33.0000000000;2
8.6350314897;-68.3967914439;2;0;2;42.5000000000;25.7500000000;25.1600000000;20.6400000000;38.6250000000;23.1250000000;1
29.8171789334;-38.4401129944;2;1;3;32.0000000000;27.8333333333;24.2000000000;24.2800000000;30.8750000000;33.3750000000;1
-102.7115033360;76.4705216275;0;3;3;15.0000000000;39.5000000000;18.5200000000;31.9200000000;24.3125000000;39.7500000000;2
-11.1007998481;-38.4401129944;2;1;3;36.6666666667;29.0000000000;25.7200000000;24.2800000000;37.9000000000;28.4000000000;2
-7.5824175824;-12.2090685599;1;0;1;39.5000000000;24.0000000000;25.7600000000;26.4400000000;29.9285714286;30.9285714286;1
7.9950186800;-0.0621082621;2;0;2;43.5000000000;24.0000000000;24.8400000000;22.4000000000;26.2500000000;41.5000000000;1
89.5625942685;-20.7754567563;1;0;1;44.0000000000;24.0000000000;32.0400000000;26.9200000000;41.8000000000;33.2000000000;1
28.9346300088;49.5580430098;2;1;3;39.8333333333;33.8333333333;29.4000000000;28.4400000000;36.4375000000;36.5000000000;2
35.0474167709;-0.0621082621;1;2;3;39.0000000000;42.0000000000;29.1600000000;22.4000000000;36.5000000000;23.0714285714;1
-12.2090685599;89.5625942685;1;2;3;35.1666666667;41.6666666667;26.4400000000;32.0400000000;32.6250000000;40.2500000000;2
-11.1007998481;29.8171789334;2;1;3;33.0000000000;27.6666666667;25.7200000000;24.2000000000;30.6428571429;35.8571428571;1
35.0474167709;7.9950186800;1;1;2;38.2500000000;27.2500000000;29.1600000000;24.8400000000;42.1250000000;34.3750000000;2
49.5580430098;-102.7115033360;3;0;3;39.8333333333;18.5000000000;28.4400000000;18.5200000000;34.7500000000;24.8125000000;1
76.4705216275;28.9346300088;2;1;3;42.5000000000;35.6666666667;31.9200000000;29.4000000000;39.6250000000;36.9375000000;2
-20.7754567563;-12.2090685599;1;0;1;41.0000000000;22.5000000000;26.9200000000;26.4400000000;29.8000000000;36.4000000000;1
89.5625942685;28.9056633916;1;0;1;43.0000000000;26.5000000000;32.0400000000;26.3200000000;39.6428571429;39.6428571429;1
-38.4401129944;29.8171789334;1;2;3;27.8333333333;32.0000000000;24.2800000000;24.2000000000;33.3750000000;30.8750000000;2
49.5580430098;76.4705216275;1;2;3;31.1666666667;40.3333333333;28.4400000000;31.9200000000;38.3125000000;39.3750000000;2
28.9056633916;-20.7754567563;1;0;1;42.5000000000;22.0000000000;26.3200000000;26.9200000000;38.8000000000;33.6000000000;1
-38.4401129944;-11.1007998481;1;2;3;29.0000000000;36.6666666667;24.2800000000;25.7200000000;28.4000000000;37.9000000000;2
-0.0621082621;7.9950186800;0;2;2;24.0000000000;43.5000000000;22.4000000000;24.8400000000;41.5000000000;26.2500000000;2
-0.0621082621;35.0474167709;2;1;3;42.0000000000;39.0000000000;22.4000000000;29.1600000000;23.0714285714;36.5000000000;1
29.8171789334;-11.1007998481;1;2;3;27.6666666667;33.0000000000;24.2000000000;25.7200000000;35.8571428571;30.6428571429;2
28.9346300088;-102.7115033360;2;1;3;29.8333333333;20.5000000000;29.4000000000;18.5200000000;39.4375000000;22.6250000000;1
-12.2090685599;28.9056633916;0;1;1;33.0000000000;44.5000000000;26.4400000000;26.3200000000;29.6428571429;37.0714285714;2
28.9056633916;-7.5824175824;2;1;3;32.8333333333;30.8333333333;26.3200000000;25.7600000000;34.5625000000;32.9375000000;1
7.9950186800;35.0474167709;1;1;2;27.2500000000;38.2500000000;24.8400000000;29.1600000000;34.3750000000;42.1250000000;2
-7.5824175824;89.5625942685;1;0;1;42.5000000000;23.5000000000;25.7600000000;32.0400000000;29.5000000000;42.4285714286;1
-17.1168141415;-18.4011358736;1;2;3;36.3333333333;38.0000000000;24.3200000000;27.0400000000;32.4000000000;34.8000000000;2
15.4229730223;14.6510549502;0;3;3;15.6666666667;39.3333333333;22.8800000000;31.9200000000;35.2500000000;39.2500000000;2
23.1671999498;17.1774317666;3;2;5;40.3000000000;35.8000000000;25.8000000000;30.8400000000;32.7500000000;37.6666666667;2
-17.1168141415;14.6510549502;1;2;3;31.3333333333;33.1666666667;24.3200000000;31.9200000000;29.7500000000;37.7500000000;2
15.4229730223;-18.4011358736;4;1;5;39.5000000000;32.8000000000;22.8800000000;27.0400000000;20.5000000000;35.7000000000;1
-17.1168141415;15.4229730223;2;1;3;35.5000000000;31.6666666667;24.3200000000;22.8800000000;28.2857142857;31.2142857143;1
14.6510549502;-18.4011358736;2;1;3;33.0000000000;29.0000000000;31.9200000000;27.0400000000;41.5000000000;37.9000000000;1
-18.4011358736;-17.1168141415;2;1;3;38.0000000000;36.3333333333;27.0400000000;24.3200000000;34.8000000000;32.4000000000;1
14.6510549502;15.4229730223;3;0;3;39.3333333333;15.6666666667;31.9200000000;22.8800000000;39.2500000000;35.2500000000;1
17.1774317666;23.1671999498;2;3;5;35.8000000000;40.3000000000;30.8400000000;25.8000000000;37.6666666667;32.7500000000;2
14.6510549502;-17.1168141415;2;1;3;33.1666666667;31.3333333333;31.9200000000;24.3200000000;37.7500000000;29.7500000000;1
-20.7754567563;8.6350314897;3;0;3;38.0000000000;9.3333333333;26.9200000000;25.1600000000;35.2500000000;29.2500000000;1
-18.4011358736;15.4229730223;1;4;5;32.8000000000;39.5000000000;27.0400000000;22.8800000000;35.7000000000;20.5000000000;2
15.4229730223;-17.1168141415;1;2;3;31.6666666667;35.5000000000;22.8800000000;24.3200000000;31.2142857143;28.2857142857;1
-20.7754567563;20.2986089760;0;2;2;24.5000000000;42.5000000000;26.9200000000;28.4800000000;37.0000000000;42.1666666667;2
-18.4011358736;14.6510549502;1;2;3;29.0000000000;33.0000000000;27.0400000000;31.9200000000;37.9000000000;41.5000000000;1
