league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Challenger Series (Alemania);1;g_25_IXzYIZN2;Finalizado;2021-01-12;Zeptner H. (Ger);Cheaib D. (Leb);0;3;[{'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 8, 'away': 11}];;
Challenger Series (Alemania);1;g_25_dOZyIgw9;Finalizado;2021-01-12;Wetzel F. (Ger);Martinko J. (Cze);1;3;[{'home': 10, 'away': 12}, {'home': 11, 'away': 7}, {'home': 4, 'away': 11}, {'home': 7, 'away': 11}];;
Challenger Series (Alemania);1;g_25_vmPtHDhF;Finalizado;2021-01-12;Chambers D. (Aus);Bluhm F. (Ger);1;3;[{'home': 11, 'away': 8}, {'home': 5, 'away': 11}, {'home': 6, 'away': 11}, {'home': 6, 'away': 11}];;
Challenger Series (Alemania);1;g_25_jPiAaoNs;Finalizado;2021-01-12;Ligocki C. (Ger);Cheaib D. (Leb);1;3;[{'home': 3, 'away': 11}, {'home': 12, 'away': 10}, {'home': 9, 'away': 11}, {'home': 5, 'away': 11}];;
Challenger Series (Alemania);1;g_25_pniEb5xl;Finalizado;2021-01-12;Servaty M. (Ger);Bluhm F. (Ger);3;2;[{'home': 11, 'away': 6}, {'home': 11, 'away': 6}, {'home': 7, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 7}];;
Challenger Series (Alemania);1;g_25_OxjIcPif;Finalizado;2021-01-12;Zeptner H. (Ger);Chambers D. (Aus);2;3;[{'home': 7, 'away': 11}, {'home': 12, 'away': 10}, {'home': 4, 'away': 11}, {'home': 12, 'away': 10}, {'home': 9, 'away': 11}];;
Challenger Series (Alemania);1;g_25_tEpNdq70;Finalizado;2021-01-12;Wetzel F. (Ger);Servaty M. (Ger);2;3;[{'home': 11, 'away': 7}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}];;
Challenger Series (Alemania);1;g_25_K4qRe3M6;Finalizado;2021-01-12;Ligocki C. (Ger);Martinko J. (Cze);1;3;[{'home': 11, 'away': 8}, {'home': 5, 'away': 11}, {'home': 5, 'away': 11}, {'home': 4, 'away': 11}];;
Challenger Series (Alemania);1;g_25_MeW3oEWB;Finalizado;2021-01-12;Cheaib D. (Leb);Bluhm F. (Ger);3;0;[{'home': 11, 'away': 5}, {'home': 16, 'away': 14}, {'home': 11, 'away': 7}];;
Challenger Series (Alemania);1;g_25_0nV7pYoI;Finalizado;2021-01-12;Martinko J. (Cze);Servaty M. (Ger);3;2;[{'home': 6, 'away': 11}, {'home': 15, 'away': 13}, {'home': 11, 'away': 9}, {'home': 5, 'away': 11}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_tjdPi4jU;Finalizado;2021-01-12;Belugin O. (Rus);Kolmin A. (Rus);2;3;[{'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 6, 'away': 11}, {'home': 12, 'away': 10}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_A5WYB7yn;Finalizado;2021-01-12;Khomutov S. (Rus);Tolmachev I. (Rus);3;2;[{'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 11, 'away': 6}, {'home': 7, 'away': 11}, {'home': 13, 'away': 11}];;
Liga Pro (Rusia);1;g_25_hULwBRjh;Finalizado;2021-01-12;Lisov A. (Rus);Gribkov A. (Rus);3;2;[{'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_va3OMOk4;Finalizado;2021-01-12;Karpovkin G. (Rus);Belugin O. (Rus);3;1;[{'home': 11, 'away': 8}, {'home': 13, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_0UuezrK3;Finalizado;2021-01-12;Razinkov D. (Rus);Lisov A. (Rus);1;3;[{'home': 11, 'away': 3}, {'home': 8, 'away': 11}, {'home': 12, 'away': 14}, {'home': 3, 'away': 11}];;
Liga Pro (Rusia);1;g_25_8veuJtkT;Finalizado;2021-01-12;Poletaev I. (Rus);Khomutov S. (Rus);1;3;[{'home': 11, 'away': 9}, {'home': 5, 'away': 11}, {'home': 5, 'away': 11}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_MNhTLr5A;Finalizado;2021-01-12;Kolmin A. (Rus);Sergeevich I. (Rus);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 5}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_vLvaZ1Z9;Finalizado;2021-01-12;Gribkov A. (Rus);Simonov S. (Rus);2;3;[{'home': 11, 'away': 7}, {'home': 11, 'away': 5}, {'home': 8, 'away': 11}, {'home': 4, 'away': 11}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_C8a0E0cp;Finalizado;2021-01-12;Tolmachev I. (Rus);Nikiforov O. (Rus);3;0;[{'home': 13, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_zRdXK2KG;Finalizado;2021-01-12;Sergeevich I. (Rus);Belugin O. (Rus);2;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 4, 'away': 11}, {'home': 11, 'away': 6}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_jab4DKCj;Finalizado;2021-01-12;Nikiforov O. (Rus);Khomutov S. (Rus);2;3;[{'home': 11, 'away': 7}, {'home': 11, 'away': 7}, {'home': 8, 'away': 11}, {'home': 12, 'away': 14}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_8fq3YLlG;Finalizado;2021-01-12;Simonov S. (Rus);Lisov A. (Rus);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_UmdyKMZM;Finalizado;2021-01-12;Karpovkin G. (Rus);Kolmin A. (Rus);2;3;[{'home': 9, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 6}, {'home': 4, 'away': 11}, {'home': 6, 'away': 11}];;
