;league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
0;Extraliga (República Checa);1;g_25_8A3p204L;Finalizado;2021-01-28 00:00:00;Cheb;Hradec Kralove;3;0;[];;
1;Extraliga (República Checa);1;g_25_zJbHLo1B;Finalizado;2021-01-28 00:00:00;Hodonin;Liberec;3;0;[];;
2;Challenger Series (Alemania);1;g_25_4lonR1Yj;Finalizado;2021-01-28 00:00:00;Chambers D. (Aus);Happek S. (Ger);3;0;[{'home': 11, 'away': 4}, {'home': 11, 'away': 8}, {'home': 13, 'away': 11}];;
3;Challenger Series (Alemania);1;g_25_GCr3AIir;Finalizado;2021-01-28 00:00:00;Klein D. (Ger);Cheaib D. (Leb);1;3;[{'home': 5, 'away': 11}, {'home': 12, 'away': 10}, {'home': 2, 'away': 11}, {'home': 1, 'away': 11}];;
4;Challenger Series (Alemania);1;g_25_tWJgpsuT;Finalizado;2021-01-28 00:00:00;Happek S. (Ger);Qiu L. (Ger);3;1;[{'home': 11, 'away': 9}, {'home': 13, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 7}];;
5;Challenger Series (Alemania);1;g_25_Ec169x7l;Anulado;2021-01-28 00:00:00;Happek S. (Ger);Kuzmin F. (Rus);0;0;[];;
6;Challenger Series (Alemania);1;g_25_pYynb9Jc;Finalizado;2021-01-28 00:00:00;Huzjak J. (Cro);Sanchi F. (Arg);3;2;[{'home': 7, 'away': 11}, {'home': 11, 'away': 5}, {'home': 6, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 6}];;
7;Challenger Series (Alemania);1;g_25_460mw8Ro;Finalizado;2021-01-28 00:00:00;Chambers D. (Aus);Bluhm F. (Ger);1;3;[{'home': 8, 'away': 11}, {'home': 12, 'away': 10}, {'home': 7, 'away': 11}, {'home': 12, 'away': 14}];;
8;Challenger Series (Alemania);1;g_25_jPgyWjKI;Finalizado;2021-01-28 00:00:00;Cheaib D. (Leb);Qiu L. (Ger);2;3;[{'home': 11, 'away': 3}, {'home': 4, 'away': 11}, {'home': 8, 'away': 11}, {'home': 12, 'away': 10}, {'home': 8, 'away': 11}];;
9;Challenger Series (Alemania);1;g_25_p44FWNAT;Anulado;2021-01-28 00:00:00;Klein D. (Ger);Kuzmin F. (Rus);0;0;[];;
